Neighborhood,Latitude,Longitude
Ardmore,36.0848596,-80.2739393
Asbury Place,,
Bermuda Run,36.0037477,-80.4219996
Buena Vista,36.1115264,-80.2822728
Clemmons West,36.0087479,-80.3853319
Country Club/South Fork,36.0846,-80.3269
Downtown Winston Salem,36.099861,-80.244217
Emerywood,,
Meadow Glen,,
Oak Ridge,36.1735,-79.9889
Old Salem,36.08986,-80.23422
Old Vineyard,,
Salem Glen,35.977938,-80.386782
Sedge Garden,36.089,-80.139
Sherwood Forest,,
Union Cross,36.048470,-80.118933
Washington Park,36.07361,-80.24389
Waterford,36.021526,-80.381996
West End,36.09667,-80.25889
West Salem,36.083193,-80.2519942